s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
346,Jean Tinguely,Fragment from Homage to New York,,MoMA,Switzerland,FALSE,6,"sculpture, painted metal, fabric, tape, wood, & rubber tires",3411900,1960,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,2,4,FALSE,0,5,5,"this is one small piece of huge self-destructing machine, Â‰Ã›Ãèself-constructing and self-destroying work of art,Â‰Ã›Âù which was set in motion in MoMA's sculpture garden during performance, sound, painted, moved, explosion, color smoke; performance stopped by fire dept, this piece includes some bicycle parts, multiple wheels, seat, paint can, long arching rod"
347,Jean Dubuffet ,Four Scribbles (Quatre gribouillis),,MoMA,France,TRUE,1,"drawing, ink on paper",567,1960,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1,2,0,2,4,FALSE,0,5,0,"lettering, repetition, overlaying of scribbled writing each almost forming oval shape, suspended in 4 areas one on top of each other, faint backwards letters in some places (on back of paper?)"
348,Otto Piene ,Untitled (Smoke Drawing),kinetic art,MoMA,Germany,FALSE,1,"drawing, soot on paper",3723,1959,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,2,4,0,0,0,FALSE,5,0,3,"use of soot, repetition & overlapping, quality of material & varying repetition, seems volumetric, darker where overlapped, layers of holes across paper creating shape, uneven edge along the bottom"
349,Alberto Giacometti,Point to the Eye,,MoMA,France,FALSE,6,"sculpture, wood & metal",26352,1932,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,1,0,0,4,FALSE,0,3,5,"suspended in mid-air, and semi-abstract, what is it, surrealist, what seems to describe a tiny head w/ a long shank of plaster, something like a tusk, very nearly jabbing it in the eye, uncomfortable relation of objects to each other"
350,Francis Thompson,Concave Orange with Hole on Plate,,MoMA,America,FALSE,4,"photo, chromogenic color print",759,1959,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,2,4,FALSE,0,0,5,"distortion, can't fully recognize objects"
351,Joseph Cornell,Untitled (Dieppe),,MoMA,America,TRUE,6,"sculpture, mixed media: wood box w/ glass over painted background containing corkball, metal rods, metal bracelet, nails, & stamp, w/ book pages on reverse",6400,1958,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,1,0,0,4,FALSE,0,5,5,"Â‰Ã›Ãèshadow boxes become poetic theater or settings wherein are metamorphosed the elements of a childhood pastime. The fragile, shimmering globules become the shimmering but more enduring planetsÂ‰Ã›Ã“a connotation of moon and tidesÂ‰Ã›Ã“the association of water less subtle, as when driftwood pieces make up a proscenium to set off the dazzling white of sea foam and billowy cloud crystallized in a pipe of fancy.Â‰Ã›Âù  Among the earliest examples of assemblage; surrealist, unexpected juxtapositions, here ball on rails & suspended circle w/ empty space, hard to fathom"
352,Forrest Bess,Untitled,,MoMA,America,FALSE,3,"painting, oil on canvas with wood frame",900,1957,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,2,1,3,4,4,FALSE,0,5,5,"line suspended into empty space, illusion of deep recession, line w/ 2 half stripes on it - train tracks - curved, suspended, gets smaller, going into empty space / setting sun above the horizon"
353,Merce Cunningham,Suite by Chance (Movement Chart II C-D-E Extensions),,MoMA,America,TRUE,1,"drawing, ballpoint pen & pencil on graph paper",306,1952,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,4,4,FALSE,0,5,0,"repetition, grid, notations, words, erasure, scribbles, choice, multidirection notation on squared paper, use of chance, choreographic chart to follow for performance - movement chart II. Â‰Ã›Ãèchoreography by chance,Â‰Ã›Âù a technique in which selected isolated movements are assigned sequence by such random methods as tossing a coin - in Suite by Chance the movement patterns themselves were so constructed"
354,Julius Bissier,Untitled,,MoMA,Germany,FALSE,5,"print, lithograph",0,1950,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,3,3,0,2,4,FALSE,0,5,5,"large isolated, abstract marks, looks as if it is made with brush even though it is a lithograph, hard to tell what the shapes are, leaning, thinner lines & larger areas, textural"
355,Philip Guston,Untitled,,MoMA,America,FALSE,3,"painting, synthetic polymer paint on paper",7752,1963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2,3,2,3,4,FALSE,0,5,3,"overlayering, cross hatching, smudging, hard to tell what the 2+ shapes are, they are partly being encroached on by brushstrokes, overlaid space, painting doesn't go to edge, energetic thick brushstrokes, space inbetween brushstrokes so ground and shapes are not solid"
356,Sylvia Wald,Spirit's Constellation,,MoMA,America,FALSE,5,"print, serigraph, printed in color",2028,1952,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,1,3,1,3,4,FALSE,3,5,5,"overlaying & texture, liquid materials, vaporous shapes, crisp parallel small notations grouped in different orientations almost looks like closeup of textural wool or scientific cells, partly curving out in different directions from center, one splash of color, hard to tell what the space is & what it is"
357,Louise Bourgeois,Untitled,,MoMA,France / America,FALSE,1,"drawing, ink, charcoal, & gouache on paper",3250,1949,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,2,3,1,4,4,FALSE,0,5,3,"repetition of slightly curving leaning shapes w/ one side w/ parallel lines; blank spaces, one spot of color, use of space & repeated shapes (figures / trees / knives?) & one area of color which is hard to define, lines made with range of materials, hard to tell what the repeated vertical shapes represent / describe or the parallel fainter horizontal directional lines. some shapes go from top to bottom, most are much less tall"
358,Alexander Calder,The Bicycle,kinetic art,MoMA,France,FALSE,6,"sculpture, wood, metal, motor, cord, & steel wire",1544400,1968,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,1,0,0,4,1,FALSE,0,0,0,"motor driven sculpture, machine, light suspended parts, small moving parts, kinetic machine"
359,Philippe Halsman,Dali Atomicus,,MoMA,Latvia / America,FALSE,4,"photo, gelatin silver print",858,1948,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,1,0,0,1,FALSE,3,3,5,"staged photo, movement, combination of elements, shadow, depicting movement in space, objects in mid-air, arc of water, droplets off cats in mid-air, theatrical, surrealist"
360,Mark Rothko ,No. 5/No. 24,abstract expressionism,MoMA,Latvia / America,FALSE,3,"painting, oil on canvas",11008,1948,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,4,4,4,0,4,FALSE,0,3,5,"floating shapes, shapes almost hovering, orange / siena ground creates vibrant contrast w/ values, varied particular shapes but hard to tell what they allude to, all sited underneath light brown shape extending horizontally 1/3 way down canvas, textural thin brushmarks"
361,LÃ¡szlÃ_ Moholy-Nagy,"Vertical Black, Red, Blue",,LACMA also MoMA,Hungary,FALSE,6,"sculpture, oil & incised lines on molded Plexiglas, on original base",12470,1945,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,4,3,1,1,2,FALSE,5,5,5,"floating shape incised w/ circular overlapping lines on molded plexi, use of molded, transparent plexi - surface is not flat & it is see-through; red, black dots in lines creating radiating shapes, hard to tell where these are because of plexi they are on; also made kinetic works & used light. here both surface and placement of dotted lines on this surface create uncertainty"
362,BrassaÃ¯ (Gyula HalÃ¡sz),Buttress of the Elevated,,MoMA,Transylvania / France,FALSE,4,"photo, gelatin silver print",1862,1935,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,5,1,0,0,2,FALSE,0,0,5,"cast shadow, space and darkness, strong value contrasts, hard to tell what is in the shadow, shadow reads almost figuratively, sharp perspective, somewhat sinister "
363,M. C. Escher ,Relativity,,MoMA,Denmark,FALSE,5,"print, lithograph",870,1953,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,0,5,1,FALSE,0,5,5,"space & different mathematical perspectives combined together, space changes as you look at different parts of the image, different orientations, different surfaces, multiple stairways, doors, arches leading to outdoors, figures; normal laws of gravity don't apply"
364,Clyfford Still ,1944-N No. 2,abstract expressionism,MoMA,America,FALSE,3,"painting, oil on canvas",58565,1944,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,4,2,2,1,4,FALSE,0,3,5,"space & angular shapes & mostly black 'ground', jagged off center lines, dark space, some lines are vertical, one long one runs across and plunges down the canvas, balanced by small green on right, insistent, black marks show, large canvas, what is this, striking, particular shapes against immense of dark ground"
365,Harold E. Edgerton,Milk Drop,,MoMA,America,FALSE,4,"photo, gelatin silver print",471.42,1936,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,2,0,0,0,4,FALSE,5,0,5,"combined high-tech strobe lights w/ camera shutter motors to capture moments, movement in time that eye can't perceive; milk drops caught in mid-air, uncertainty of what it is & how it has been done"
366,Meret Oppenheim ,Object,surrealism,MoMA,Germany / Switzerland,FALSE,6,"sculpture, fur-covered cup, saucer, & spoon",3360,1936,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,5,0,0,2,FALSE,0,0,5,"real object, cup, saucer & spoon, covered w/ a different material, juxtaposition of material & functionality, sense of feel of fur on lips, alludes to other things, surrealist, uncomfortable"
367,Paul Outerbridge,H-O Box,,MoMA,America,TRUE,4,"photo, platinum print",88,1923,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,4,0,0,0,3,FALSE,0,3,5,"relative sizes, semi-abstract, use of shadows, scale, size & shadow strange, eerie, box shadow seems somewhat like a building, reduction of objects into semi-abstract forms"
368,RenÃ© Magritte ,The Thought Which Sees,surrealism,MoMA,France,FALSE,1,"drawing, pencil on paper",1200,1965,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,3,2,0,1,4,FALSE,0,5,5,"combination of images together & within images, collage-like, hard to tell relationship of figures, which way each is facing, no facial descriptions, grey tones, striking short lines in some areas parallel, elsewhere crosshatched, surreal"
369,Edward Hopper ,House by the Railroad,,MoMA,America,FALSE,3,"painting, oil on canvas",4514,1925,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,4,0,3,0,4,FALSE,0,3,5,"isolated building, blank windows, moody colors, empty, quiet, eerie, some windows seem blank, no belongings in sight"
370,Paul Klee,"Queen of Hearts (Herzdame) from the periodical Der Ararat. Glossen, Skizzen und Notizen zur Neuen Kunst vol. 2, no. 4",,MoMA,Switzerland,FALSE,5,"print, lithograph",468,1921,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,3,4,0,4,4,FALSE,3,5,3,"semi-abstract, use of empty areas, combines parts of representation together, hard to tell what it is, quality of line, print textural quality"
371,Vasily Kandinsky,Panel for Edwin R. Campbell No. 4,,MoMA,Russia / France,FALSE,3,"painting, oil on canvas",20049,1914,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,4,1,1,2,4,3,FALSE,5,5,5,"elements at an angle to the rectangle, ""nonobjective painting"", association w/ music, swirling, busy composition, a lot of small w/ larger objects/shapes, leaning grouped lines, different orientations, specific colors, tones, almost suggests a moving vortex w/ multiple elements, small parallel brusy paintmarks create uneven, jagged edges of objects & smear colors into each other in some parts"
372,Hannah HÃ¶ch,Cut with the Dada Kitchen Knife through the Last Weimar Beer-Belly Cultural Epoch in Germany,dada,Artsy also MoMA,Germany,TRUE,1,"drawing, collage",10260,1919,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,4,1,0,1,4,FALSE,3,3,5,"collage, multitude of images of people, objects & places, interspersed w/ text including ""dada"", different sizes, busyness, uses so many parts that it's hard to tell the reading, post WW1 Europe political & social meanings, title, 'Cut with the Dada Kitchen Knife through the Last Weimar Beer-Belly Cultural Epoch in Germany',  juxtapositions, couples heads of prominent male political figures w/ the bodies of female dancers, gender inequality, political power"
373,Giacomo Balla,Swifts: Paths of Movement + Dynamic Sequences,futurism,MoMA,Italy,FALSE,3,"painting, oil on canvas",11640,1913,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,3,0,2,3,4,FALSE,0,5,5,"curved parallel lines & areas, faceted, specific repeated shapes together create larger areas, movement, semi-transparent, inspired by photographic studies of animal locomotion, tries to depict dynamic sensation, speed"
374,Jean (Hans) Arp,A Navel (Ein Nabel) from Merz 5. 7 Arpaden by Hans Arp. Arp Portfolio. Second Portfolio of the Merz Publisher (Merz 5. 7 Arpaden von Hans Arp. Arp Mappe. Zweite Mappe des Merzverlages,dada,MoMA,Germany / France,FALSE,5,"print, one from a portfolio of 7 lithographs",1575,1923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,1,0,0,0,4,FALSE,0,5,5,"small size odd shaped donut circle floating within large print, isolated element off center to right, relative very small size, almost abstract, 2 tone"
375,Jacques Villon,Interior,,MoMA,France,FALSE,1,"drawing, ink on paper",391,1950,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,4,3,0,2,3,FALSE,0,0,5,"overlayering, cross hatching, use of blank space, lightness, cross hatch layer all over the drawing, lightweight marks only lines, no areas only light parallel lines, some marks more scribbled, loops, energetic handdrawn marks"
376,Naum Gabo ,"Linear Construction in Space no. 3, with Red",constructivism,MoMA,Russia / America,FALSE,6,"sculpture, plexiglass & nylon wire, with aluminum base",157826,1953,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,4,2,0,1,3,FALSE,0,3,5,"construction, use of transparent materials, transparent plexi w/ red plexi, wavy strips as if floating material in wind winding around, wrapped, opposite of solid sculpture, large part of the piece is open spaces, view from all sides, delicacy, interdeterminance, form achieved through description of space rather than mass"
377,Natalia Goncharova,Composition,,MoMA,Russia,FALSE,3,"painting, watercolor on paper",560,1920,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,3,0,0,5,3,FALSE,3,3,5,"steep angle of image to picture plane, parallel repeated images at very steep angle as if they are slipping off the painting, top part is in browns only (reflected / sky?), descriptions are on multi-islands, partly connected, unusual orientation for landscape, some brushmarks mark edge of shapes, some more liquid areas merge a little"
378,Juan Gris,Breakfast,cubism,MoMA,France,FALSE,3,"painting, gouache, oil, & crayon on cut-&-pasted printed paper on canvas w/ oil & crayon",4860,1914,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,0,0,4,3,FALSE,0,3,5,"juxtaposition, papier collÃŒÂ©, sharp divisions in different planes, shading, hard to tell where things are in space or what is actually there, are items repeated twice?, things which are behind seem to end up on top"
379,Odilon Redon ,Apparition in the Window,,MoMA,France,FALSE,1,"drawing, charcoal & chalk on paper",1426,1892,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,3,5,2,0,0,0,FALSE,0,5,5,"lighter to denote apparition, charcoal for darker window edge, texture marks w/ charcoal, chalk for much lighter drawing, landscape & large figure, to suggest what might be there; symbolist painter"
380,Pablo Picasso,Still Life with Bottle of Marc (Nature morte Ã  la bouteille de marc),cubism,MoMA,Spain ,TRUE,5,"print, drypoint in black on Arches paper",1550,1911,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,4,1,0,4,3,FALSE,0,5,3,"repetition of curved lines, angled straight lines, several areas of short energetic almost parallel mark lines that give more volume, broken up words, constructivist, parallel lines describe parts of each element, open structures, parts of forms described but no fully defined forms / volumes, flattish, barely discernable objects"
381,FrantiÅ¡ek Kupka,Untitled,,MoMA,Czech Republic,FALSE,1,"drawing, colored pencil, pencil, ink, & oil on paper",368,1930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,2,2,3,2,3,FALSE,0,5,5,"repetition, angles, dotted lines, cutout lines, circles, different sized elements, simple & complex, order w/ irregular moments, slight stained lines at angles on paper, what is this, hard to tell spatial angle, from above, buildings / interior / abstract? Large amount of paper left, markmaking evident, edge of lines are slightly wobbly, handmade quality"
382,Georges Braque,Man With a Guitar,cubism,MoMA,France,FALSE,3,"painting, oil on canvas",9396,1912,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,4,3,0,4,3,FALSE,3,5,5,"repetition of lines, grouped into shapes, angled darker lines in different orientations, sense of moving planes, dark somber colors overall w/ darker sections w/ a lot of depth & tonal variation, parallel brushstrokes"
383,Paul CÃ©zanne,House Among Trees,,MoMA,France,FALSE,3,"painting, watercolor & pencil on paper",1232,1900,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,4,3,1,0,2,FALSE,0,5,5,"grouped into areas, parts unpainted, light washes, sense of light from lower left to upper right, changing the volumes on the objects; watercolors, markmaking, liquid, curved lines, volumes, large amount unpainted, very light values, semi transparent colors over each other, multiple parallel lines finding parts of outlines of shapes, searching quality"
384,Raoul Ubac ,BrÃ»lage,surrealism,Pompidou,Belgium / France,FALSE,4,"photo, gelatin silver print",432,1939,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,3,3,0,0,4,FALSE,0,0,5,"process still, very deep rich blacks, very hard to tell what this is or how it's been made, shapes merge / blur into each other, is this a closeup? changed form by submitting photographic emulsion of the negative to heat of a hot plate, images literally liquified - burning process to randomly transform & alter the image "
385,Allan Kaprow ,Fluids,,Hauser and Wirth,America,FALSE,2,"installation, blocks of ice",64800000,1967,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,3,5,0,0,1,FALSE,0,0,5,"melting material, erodes away, movement, ice blocks forming large enclosures melting so literally uncertain"
386,Charles Long,Untitled,,Tanya Bonakdar Gallery,America,FALSE,6,"sculpture, papier machÃŒÂ©, plaster, steel, acrylic, river sediment & debris",2998086,2009,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0,0,4,0,4,4,FALSE,0,5,5,"juxtaposition of 2 kinds of lines, unclear how thin papier mache & river sediment line stands up, this line seems to almost describe water or ice, much taller than angular hard lines, particular shapes, difference of materials, framed w/ a lot of space"
387,Jeff Koons,Balloon Dog,supports/surfaces,Jeff Koons website,America,FALSE,6,"sculpture, mirror-polished stainless steel w/ transparent color coating",12704274,1996,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,4,0,4,0,0,4,FALSE,0,0,5,"steel made to resemble a balloon, play of balloon - light object - with steel and heaviness, huge size of sculpture, uncertain what weight this is / what it is made from"
388,Joseph Mallord William Turner,"Norham Castle, Sunrise",,Tate Gallery,UK,FALSE,3,"painting, oil on canvas",11102,1845,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,4,4,3,0,1,FALSE,0,0,5,"light colors, no sharp edges, tones, colors meld into each other, lumiosity, uncertain where things are in space, light ethereal space, paint marks evident on surface of painting, closeup this looks more like abstract paint marks"
389,Salvador DalÃ_ ,The Persistence of Memory,surrealism,MoMA,Spain ,FALSE,3,"painting, oil on canvas",792,1931,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,1,0,1,0,4,FALSE,3,3,5,"""hand painted dream photographs,"" hard objects become inexplicably limp, time bends, metal attracts ants like rotting flesh, juxtaposition of objects in landscape, 3 limp clock faces, is that a head sleeping w/ long eyelashes"
390,Jacques-AndrÃ© Boiffard,Untitled (Still Life),surrealism,artnet,France,FALSE,4,"photo, gelatin silver print",0,1930,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,4,1,0,1,3,FALSE,0,3,5,"isolated objects, comb standing on back w/ line shadow, objects in undefined space, hard to understand the space, odd viewpoint / angle, odd shadows, brighter oval lighted area, what is in the foreground"
391,Takesada Matsutani ,Work 65-B-1,gutai,Hauser and Wirth,Japan,FALSE,3,"painting, polyvinyl acetate adhesive, acrylic & oil on canvas, mounted on plywood board",126270,1965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,4,0,4,2,FALSE,3,3,5,"vinyl glue creating wrinkles across the surface, paint made to look bulbous, bodylike, surface sags but in 2 directions down & small area to left, creates lines, bubbles, is paint sliding off surface"
392,Rodney Graham,Main Street Tree,conceptual,Hauser and Wirth,Canada,TRUE,4,"photo,",211825,2006,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,0,0,0,5,1,FALSE,0,3,5,"upside down photo of tree in front of karoke shop, tree large and slightly leaning, hard to get past that the image is upside down, feels like objects will fall down"
393,Daniel Dezeuze,Le tableau serait-il un artefact parmi dâ€™autres ?,supports/surfaces,Marseille-MÃ©diterranÃ©e School of Art and Design ,France,FALSE,2,"installation, mixed media",0,1970,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,1,0,4,3,FALSE,3,5,3,"cleaning objects out of context, sticks w/ household objects, all with stick down & cleaning device up on wall, abject to some extent, are some made & some found? Several sticks are flimsy, bend, leant vertically against the wall, probably from gathering devices series"
394,Pol Bury,"1,914 White Points",ZERO,MoMA,Belgium,FALSE,6,"sculpture, plastic-tipped nylon wires with wood panel & motor",60000,1964,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,2,1,1,0,4,3,FALSE,5,5,5,"motor which very slowly moves plastic-tipped nylon wires sticking out in slight curves from board on wall, slowly vibrating movement, kinetic art, thin size of wires, interested in imperceptible movement"
395,Fernanda Gomes ,Untitled,,Galerie Emmanuel HervÃ©,Brazil,FALSE,2,"installation, wood & painting",4500,2009,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,3,3,0,3,5,FALSE,0,5,0,"reads as incomplete square, white on white wall, miminal work but materially basic & searching, textural, lines are basic wood not quite forming a right angle, what is this"
396,Oskar Fischinger,An Optical Poem,,YouTube ,Germany,FALSE,7,"film,",0,1938,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,4,4,0,1,0,3,FALSE,5,5,5,"animation to music, moving abstract circles & lines receeding into space, moving across the screen, coming towards the viewer, not fixed, moving in groups, patterns, getting larger / smaller, abstract musical animation, very open, always changing, luminous colors, dance of shapes resembles a voyage through an imaginery outer space"
397,Amir Mousavi,,,Aaran Gallery also LACMA,Iran,FALSE,4,"photo,",0,2009,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,3,1,0,2,FALSE,0,3,5,"combining photo & painting, blurred cars, sharp image of tree branch, strange shapes above branches, juxtapositions: paint on photo printed on canvas, real/ unreal"
398,Dariush Nehdaran,Untitled,,LACMA,Iran,FALSE,4,"photo, gelatin silver print",7597,2011,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2,0,0,4,3,FALSE,3,3,5,"photo placed on its side, strong elongated shadows of figures, weird sense of orientation"
399,Dadbeh Bassir,Untitled,,LACMA,Iran,FALSE,4,"photo, chromogenic print",4187,2014,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,1,1,0,0,4,FALSE,0,3,5,"surrealist notion of putting things in the wrong place, clouds & sky in foreground, curved wobbling look of building above"
400,Wafaa Bilal,Market,,LACMA,Iraq,FALSE,4,"photo, archival inkjet print",13208,2013,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,4,4,4,0,0,0,FALSE,0,3,5,"b&w photograph of a stage set, builds small set & photos, images taken here from American invasion of Iraq, sense of staging, eerie sense from image, uneasyness whether this is real or a tiny set"
401,Mohammad Ali Talpur,Bird Flight,,Vasl Artists' Collective,Pakistan,FALSE,1,"drawing,",0,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,3,3,0,1,4,FALSE,0,5,0,"singularity of line, placement, sense of handdrawn line, acute awaremess of placing of one line, uneven curve to the line varies in its mark, can 'see' the handdrawn nature of the line"
402,Mohammad Ali Talpur,Machine Drawing,,Vasl Artists' Collective,Pakistan,FALSE,1,"drawing, water based ink on paper",0,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,4,4,0,0,0,FALSE,0,5,0,"parallel lines, partial, lightness of touch, drawn only on part of paper, light, short lines in some places, so uncertainty not so much the shape of the lines as the quality of the lines"
403,Peter Fischli David Weiss ,ZEIT DIE ZUR VERFÃœGUNG STEHT,,Sprueth Magers,America,FALSE,4,"photo, color photograph",1200,1986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,4,1,FALSE,0,3,5,"balance, collage of objects, precarious, sense that plastic bottle will scrunch up, tape will roll down"
404,Jitish Kallat,Wind Study,,artradarjournal.com,India,TRUE,1,"drawing, burnt adhesive & graphite on Indian handmade paper",19380,2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,2,4,0,1,1,FALSE,3,5,5,"burnt adhesive & graphite on handmade paper, texture & tones of burnt lines, space created by angle of those lines joined to points which almost form architecture w/in which parts of unknown layers burnt, burning is partly out of his control, "
405,Gillian Avery,Break-off ,abstraction,Tate,UK,FALSE,3,"painting, oil on canvas",46360,1961,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,4,1,0,2,FALSE,3,5,5,"shapes placed separately on ground, vary in size, sense of liquid paint, shapes & lines bleed / merge, ambiguity through abstraction, shapes are somewhat moorless & float in relation to each other, what is the space, but less about uncertainty"
