s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
294,Matthew Ritchie ,Everyone Belongs to Everyone Else,,MoMA,UK,TRUE,1,"drawing, ink & graphite on mylar",9240,2001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,4,2,3,1,4,FALSE,5,5,5,"space between elements,floating space, almost a sense of a time sequence to convey uncertainty / change over time / use of top & bottom timeline, light value & color"
295,Erwin Wurm,House Attack,,Lehmann Maupin Gallery also MoMA,Austria,FALSE,2,"installation, mixed media",0,2006,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,0,0,0,4,3,FALSE,0,0,5,"upside down house on top of museum, balance / out of balance, rather literal - will the house fall off - conveys uncertainty"
296,Mark Lombardi,Freeport,,MoMA,America,TRUE,1,"drawing, ballpoint pen & pencil on notebook paper",1008,1994,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,0,0,4,5,FALSE,0,5,3,"words & symbols together, markmaking, diagram in all directions, arrows, erasure, different paths & use of erasure"
297,Dorothea Rockburne ,Drawing Which Makes Itself: Neighbourhood,,MoMA,America,FALSE,2,"installation, drawing on wall, ransparentized paper, pencil, colored pencil, & felt-tip pen on wall",103632,1973,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,4,0,0,4,3,FALSE,0,5,5," empty space, use of wall, lines trace movement of folded & flipped sheet of paper, aligning corners to registration marks, sheet scored, leaving a line, trace of where paper has been - set of options in creating piece: cld be this cld be that"
298,Eve Aschheim,Stretch,,MoMA,America,FALSE,1,"drawing, gesso, crayon & pencil on synthetic polymer sheet",713,1998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,3,4,2,0,4,0,FALSE,0,5,0,"semi transparent, parallel lines in groups overlaid in different directions creating spatial effect"
299,Jill Baroff,Blackbird,,MoMA,America,TRUE,1,"drawing, graphite on cut-and-pasted Japanese paper on paper",3600,1997,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,2,2,0,3,1,FALSE,0,5,5,"overlapping papers, arrows in different directions, marks, emptiness of center"
300,John Baldessari ,Goya Series: And,,MoMA,America,TRUE,3,"painting, ink jet & synthetic polymer paint on canvas",29032,1997,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,1,1,0,0,4,FALSE,5,5,5,"combination of word & image, with space around them, mottled surface - conceptual leaps; title taken from Goya's Disasters of War"
301,Stan Brakhage,23rd Psalm Branch (Part 1 & 2),,MoMA,America,FALSE,4,"photo, film still, 16mm film (color, silent)",0,1979,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,3,4,4,4,0,4,FALSE,5,0,5,"intense pools of color, different values, is this an image of blood? it is from a two-part film 'study of war' streaming harrowing newsreel WWII images rapidly interspersed w/ closeup textural colors, values"
302,Markus LÃ_pertz,"Untitled (Landschaft, abstrakt)",,MoMA,Germany,FALSE,1,"drawing, gouache & oil stick on paper",1800,1997,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,4,4,1,3,4,FALSE,0,5,5,"overlaying of 2 colors & systems, handdrawn marks, general sense of uncertainty in his work, in markmaking"
303,Harvey Tulcensky ,Untitled,,MoMA,America,FALSE,1,"drawing, ballpoint pen on paper",616,2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,3,4,2,1,2,FALSE,0,5,5,"repetition of parallel lines very close together, handmade variation & use of 2 colors in 2 areas, quality of line / touch / mark & placement"
